"product_id","code_retour","code_produit","quantite","descr_produit","description_retour","qte_inventaire","qte_detruite","taux_restock","poids","poids_produits","quantite_recue"
"1777","6632","ACT36","4","ACTION+: SAVON A MAIN 3.6L","BOUTEILLE À MOITIÉ","0","4","0","0","35","0"
"1778","6633","PVCHA200_XXL","1","CHANDAIL: COTON OUATE CAPUCHON_XX LARGE",,"0","1","0","0","0","0"
"1779","6633","PVCHA200_XL","1","CHANDAIL: COTON OUATE CAPUCHON_X LARGE",,"0","1","0","0","0","0"
"1780","6633","PVCHA200_L","1","CHANDAIL: COTON OUATE CAPUCHON_LARGE",,"0","1","0","0","0","0"
"1781","6634","HT2180","2","GRAISSE - HT2 (180KG)","Livré à la mauvaise adresse","2","0","0","0","800","2"
"1782","6635","MEP1T","20","GRAISSE - MOLY I TUBES (420G)","Erreur de produit","20","0","0","0","22","20"
"1783","6636","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1784","6637","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1785","6638","S1205N","1","S1000 NOIR: ANTIROUILLE HUILE 205L","MAUVAIS PRODUIT","1","0","0","0","420","1"
"1786","6639","DG1020","1","DG10: DEGRAISSEUR INDUSTRIEL 20L","ERREUR DE PRODUT","1","0","0","0","38","1"
"1787","6640","MEP2T","160","GRAISSE - MOLY II TUBES (440G)","ERREUR DE PRODUIT","160","0","0","0","187","160"
"1788","6641","RGP2T","30","GRAISSE - PREMIUM GR_2 TUBES (430G)","Perdu","0","30","0","0","33","0"
"1789","6642","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"1790","6643","CASE500","24","CHAINCASE: HUILE CHAINE SYN 500ML","Produits en trop","24","0","0","0","25","24"
"1791","6644","SR281","1","ÉCHANTILLON 1L (SR28)","Produit non reçu","0","1","0","0","0","0"
"1792","6645","DIA200T","1","GRAISSE INDUST. SYNTHETIQUE PAO DIAMOND 200(400G)",,"1","0","0","0","1","1"
"1793","6645","MAX5W50S1","1","MAX4 5W50: HUILE 4 TEMPS SYN 1L",,"1","0","0","0","2","1"
"1794","6645","MAX10W60S1","1","MAX4 10W60: HUILE 4 TEMPS SYN 1L",,"1","0","0","0","2","1"
"1795","6645","SYN100T","1","GRAISSE - SYN100% GR_2 (430 GR)",,"1","0","0","0","1","1"
"1796","6645","GB75901000","1","GEARBOX XT: HUILE ENGR. SYN 75W90 1000L","ERREUR DE FORMAT","1","0","0","0","2200","1"
"1797","6645","GB751401","1","GEARBOX XT: HUILE ENGR. SYN 75W140 1L",,"1","0","0","0","2","1"
"1798","6645","ST80901","1","SYNTOP: HUILE ENGRENAGE SYN 80W90 1L",,"1","0","0","0","2","1"
"1799","6645","HD15W40S4","1","HUILE MOTEUR DIESEL SYN 15W40 - 4L",,"1","0","0","0","8","1"
"1800","6645","MAX10W40S1","1","MAX4 10W40: HUILE 4 TEMPS SYN 1L",,"1","0","0","0","2","1"
"1801","6645","IP1","1","PERFORMA: HUILE 2 TEMPS SYN 1L",,"1","0","0","0","2","1"
